transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
C8-pos_106--->C8-pos_136,Hydroxylation,15.994999999999976,8.538043997674549e-05,C8-pos_106,219.1742,3.96,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_106--->C8-pos_110,Hydration,18.010899999999992,0.0003353159799921457,C8-pos_106,219.1742,3.96,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_106--->C8-pos_70,Glycine conjugation,57.021499999999975,3.627894997748626e-05,C8-pos_106,219.1742,3.96,C8-pos_70,276.1957,3.79,C8-pos
C8-pos_68--->C8-pos_1855,C=O → CHNH2,1.0290999999999997,0.0025344819300023858,C8-pos_68,219.138,3.78,C8-pos_1855,220.1671,13.67,C8-pos
C8-pos_1855--->C8-pos_158,COOH → CONH2,-0.992999999999995,0.008984417469996231,C8-pos_1855,220.1671,13.67,C8-pos_158,219.1741,4.27,C8-pos
C8-pos_1855--->C8-pos_106,COOH → CONH2,-0.9928999999999917,0.008884417469992911,C8-pos_1855,220.1671,13.67,C8-pos_106,219.1742,3.96,C8-pos
C8-pos_138--->C8-pos_1855,COOH → CONH2,-0.9864000000000033,0.0023844174700045073,C8-pos_138,221.1535,4.1,C8-pos_1855,220.1671,13.67,C8-pos
C8-pos_1855--->C8-pos_32,Hydroxylation,15.995299999999986,0.00038538043998670446,C8-pos_1855,220.1671,13.67,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_1855--->C8-pos_110,Amination,17.018,0.008549101490000766,C8-pos_1855,220.1671,13.67,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_1855--->C8-pos_38,Hydration,18.010599999999982,3.531597998218672e-05,C8-pos_1855,220.1671,13.67,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_1855--->C8-pos_65,Acetylation,42.01060000000001,3.531598001416114e-05,C8-pos_1855,220.1671,13.67,C8-pos_65,262.1777,3.76,C8-pos
C8-pos_1855--->C8-pos_90,Glycine conjugation,57.01249999999999,0.008963721050008644,C8-pos_1855,220.1671,13.67,C8-pos_90,277.1796,3.89,C8-pos
C8-pos_68--->C8-pos_138,Hydrogenation,2.015500000000003,0.00015006445999699025,C8-pos_68,219.138,3.78,C8-pos_138,221.1535,4.1,C8-pos
C8-pos_138--->C8-pos_1855,COOH → CONH2,-0.9864000000000033,0.0023844174700045073,C8-pos_138,221.1535,4.1,C8-pos_1855,220.1671,13.67,C8-pos
C8-pos_138--->C8-pos_136,Methylation,14.015699999999981,4.993553998033917e-05,C8-pos_138,221.1535,4.1,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_138--->C8-pos_38,Amination,17.02419999999998,0.0023491014900223206,C8-pos_138,221.1535,4.1,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_138--->C8-pos_140,Ethylation,28.029799999999994,0.001500128920007171,C8-pos_138,221.1535,4.1,C8-pos_140,249.1833,4.11,C8-pos
C8-pos_150--->C8-pos_145,Hydration,18.010699999999986,0.00013531597998550637,C8-pos_150,205.086,4.19,C8-pos_145,223.0967,4.18,C8-pos
C8-pos_67--->C8-pos_24,Ethylation,28.027299999999997,0.004000128920004897,C8-pos_67,225.1483,3.77,C8-pos_24,253.1756,3.07,C8-pos
C8-pos_67--->C8-pos_99,Ethylation,28.0317,0.000399871079999059,C8-pos_67,225.1483,3.77,C8-pos_99,253.18,3.93,C8-pos
C8-pos_67--->C8-pos_87,Glycine conjugation,57.02170000000001,0.00023627895001254728,C8-pos_67,225.1483,3.77,C8-pos_87,282.17,3.86,C8-pos
C8-pos_86--->C8-pos_90,Glycine → Taurine,49.97919999999999,0.0034356840200047145,C8-pos_86,227.2004,3.85,C8-pos_90,277.1796,3.89,C8-pos
C8-pos_86--->C8-pos_81,Malonylation,83.98450000000003,0.00024385867996556954,C8-pos_86,227.2004,3.85,C8-pos_81,311.1849,3.84,C8-pos
C8-pos_185--->C8-pos_51,Ethylation,28.023200000000003,0.008100128919998895,C8-pos_185,200.1726,4.47,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_155--->C8-pos_51,Formylation,27.99509999999998,0.00018538043998006515,C8-pos_155,200.2007,4.24,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_113--->C8-pos_51,Formylation,27.995000000000005,8.53804400051672e-05,C8-pos_113,200.2008,4.01,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_84--->C8-pos_51,Hydration,18.010699999999986,0.00013531597998550637,C8-pos_84,210.1851,3.85,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_56--->C8-pos_51,Amination,17.0265,4.910149000281194e-05,C8-pos_56,211.1693,3.71,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_33--->C8-pos_51,Methylation,14.015599999999978,5.0064460022980484e-05,C8-pos_33,214.1802,3.55,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_51--->C8-pos_46,Hydroxylation,15.994799999999998,0.00011461956000147211,C8-pos_51,228.1958,3.71,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_51--->C8-pos_108,Ethylation,28.031000000000034,0.00030012891996733515,C8-pos_51,228.1958,3.71,C8-pos_108,256.2268,3.97,C8-pos
C8-pos_51--->C8-pos_100,Acetylation,42.0103,0.0002646840199957978,C8-pos_51,228.1958,3.71,C8-pos_100,270.2061,3.93,C8-pos
C8-pos_102--->C8-pos_103,Hydroxylation,15.995199999999983,0.0002853804399833848,C8-pos_102,214.2527,3.93,C8-pos_103,230.2479,3.94,C8-pos
C8-pos_68--->C8-pos_42,Hydroxylation,15.995199999999983,0.0002853804399833848,C8-pos_68,219.138,3.78,C8-pos_42,235.1332,3.62,C8-pos
C8-pos_42--->C8-pos_32,C=O → CHNH2,1.029200000000003,0.002434481929999066,C8-pos_42,235.1332,3.62,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_42--->C8-pos_71,Acetylation,42.0102,0.0003646840199991175,C8-pos_42,235.1332,3.62,C8-pos_71,277.1434,3.79,C8-pos
C8-pos_158--->C8-pos_136,Hydroxylation,15.99509999999998,0.00018538043998006515,C8-pos_158,219.1741,4.27,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_106--->C8-pos_136,Hydroxylation,15.994999999999976,8.538043997674549e-05,C8-pos_106,219.1742,3.96,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_138--->C8-pos_136,Methylation,14.015699999999981,4.993553998033917e-05,C8-pos_138,221.1535,4.1,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_32--->C8-pos_136,COOH → CONH2,-0.9932000000000016,0.00918441747000287,C8-pos_32,236.1624,3.54,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_136--->C8-pos_110,Hydrogenation,2.0159000000000162,0.00024993554001628837,C8-pos_136,235.1692,4.1,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_136--->C8-pos_140,Methylation,14.014100000000013,0.0015500644599875102,C8-pos_136,235.1692,4.1,C8-pos_140,249.1833,4.11,C8-pos
C8-pos_136--->C8-pos_24,Hydration,18.006400000000014,0.0041646840199867086,C8-pos_136,235.1692,4.1,C8-pos_24,253.1756,3.07,C8-pos
C8-pos_136--->C8-pos_99,Hydration,18.010800000000017,0.00023531598001724774,C8-pos_136,235.1692,4.1,C8-pos_99,253.18,3.93,C8-pos
C8-pos_136--->C8-pos_90,Acetylation,42.010400000000004,0.00016468401999247817,C8-pos_136,235.1692,4.1,C8-pos_90,277.1796,3.89,C8-pos
C8-pos_136--->C8-pos_146,Carboxylation,43.9898,2.9239119996304908e-05,C8-pos_136,235.1692,4.1,C8-pos_146,279.159,4.19,C8-pos
C8-pos_1870--->C8-pos_1923,OH → SH,15.973800000000011,0.003356380439988982,C8-pos_1870,236.0715,13.76,C8-pos_1923,252.0453,14.1,C8-pos
C8-pos_68--->C8-pos_32,Amination,17.024399999999986,0.0021491014900156813,C8-pos_68,219.138,3.78,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_1855--->C8-pos_32,Hydroxylation,15.995299999999986,0.00038538043998670446,C8-pos_1855,220.1671,13.67,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_42--->C8-pos_32,C=O → CHNH2,1.029200000000003,0.002434481929999066,C8-pos_42,235.1332,3.62,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_32--->C8-pos_136,COOH → CONH2,-0.9932000000000016,0.00918441747000287,C8-pos_32,236.1624,3.54,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_32--->C8-pos_110,C=O → CHNH2,1.0227000000000146,0.00893448192998747,C8-pos_32,236.1624,3.54,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_32--->C8-pos_38,Hydrogenation,2.0152999999999963,0.00035006446000362956,C8-pos_32,236.1624,3.54,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_32--->C8-pos_1559,Methylation,14.015100000000018,0.0005500644599827353,C8-pos_32,236.1624,3.54,C8-pos_1559,250.1775,12.23,C8-pos
C8-pos_32--->C8-pos_1865,Methylation,14.015200000000021,0.0004500644599794157,C8-pos_32,236.1624,3.54,C8-pos_1865,250.1776,13.72,C8-pos
C8-pos_32--->C8-pos_1109,Methylation,14.015299999999996,0.00035006446000451774,C8-pos_32,236.1624,3.54,C8-pos_1109,250.1777,10.74,C8-pos
C8-pos_32--->C8-pos_99,Amination,17.017600000000016,0.008949101489985622,C8-pos_32,236.1624,3.54,C8-pos_99,253.18,3.93,C8-pos
C8-pos_158--->C8-pos_110,Hydration,18.010999999999996,0.00043531597999546534,C8-pos_158,219.1741,4.27,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_106--->C8-pos_110,Hydration,18.010899999999992,0.0003353159799921457,C8-pos_106,219.1742,3.96,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_1855--->C8-pos_110,Amination,17.018,0.008549101490000766,C8-pos_1855,220.1671,13.67,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_136--->C8-pos_110,Hydrogenation,2.0159000000000162,0.00024993554001628837,C8-pos_136,235.1692,4.1,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_32--->C8-pos_110,C=O → CHNH2,1.0227000000000146,0.00893448192998747,C8-pos_32,236.1624,3.54,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_38--->C8-pos_110,COOH → CONH2,-0.9925999999999817,0.008584417469982952,C8-pos_38,238.1777,3.58,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_110--->C8-pos_24,Hydroxylation,15.990499999999997,0.004414619560002109,C8-pos_110,237.1851,3.97,C8-pos_24,253.1756,3.07,C8-pos
C8-pos_110--->C8-pos_99,Hydroxylation,15.994900000000001,1.4619559998152454e-05,C8-pos_110,237.1851,3.97,C8-pos_99,253.18,3.93,C8-pos
C8-pos_110--->C8-pos_70,Phe → Trp,39.01059999999998,0.00029903703001821214,C8-pos_110,237.1851,3.97,C8-pos_70,276.1957,3.79,C8-pos
C8-pos_110--->C8-pos_153,Carboxylation,43.986999999999995,0.00282923912000399,C8-pos_110,237.1851,3.97,C8-pos_153,281.1721,4.23,C8-pos
C8-pos_110--->C8-pos_1813,Carboxylation,43.986999999999995,0.00282923912000399,C8-pos_110,237.1851,3.97,C8-pos_1813,281.1721,13.39,C8-pos
C8-pos_110--->C8-pos_1904,Carboxylation,43.986999999999995,0.00282923912000399,C8-pos_110,237.1851,3.97,C8-pos_1904,281.1721,13.8,C8-pos
C8-pos_110--->C8-pos_1842,Carboxylation,43.98709999999997,0.002729239120029092,C8-pos_110,237.1851,3.97,C8-pos_1842,281.1722,13.64,C8-pos
C8-pos_110--->C8-pos_74,Sulfation,79.95070000000001,0.006114858679978852,C8-pos_110,237.1851,3.97,C8-pos_74,317.1358,3.79,C8-pos
C8-pos_84--->C8-pos_38,Formylation,27.99259999999998,0.002314619560017661,C8-pos_84,210.1851,3.85,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_1855--->C8-pos_38,Hydration,18.010599999999982,3.531597998218672e-05,C8-pos_1855,220.1671,13.67,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_138--->C8-pos_38,Amination,17.02419999999998,0.0023491014900223206,C8-pos_138,221.1535,4.1,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_32--->C8-pos_38,Hydrogenation,2.0152999999999963,0.00035006446000362956,C8-pos_32,236.1624,3.54,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_38--->C8-pos_110,COOH → CONH2,-0.9925999999999817,0.008584417469982952,C8-pos_38,238.1777,3.58,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_38--->C8-pos_64,Hydrogenation,2.017600000000016,0.001949935540015879,C8-pos_38,238.1777,3.58,C8-pos_64,240.1953,3.75,C8-pos
C8-pos_38--->C8-pos_90,Phe → Trp,39.001900000000006,0.008999037029994383,C8-pos_38,238.1777,3.58,C8-pos_90,277.1796,3.89,C8-pos
C8-pos_38--->C8-pos_87,Carboxylation,43.99230000000003,0.002470760880029843,C8-pos_38,238.1777,3.58,C8-pos_87,282.17,3.86,C8-pos
C8-pos_38--->C8-pos_88,Glycine conjugation,57.01259999999999,0.008863721050005324,C8-pos_38,238.1777,3.58,C8-pos_88,295.1903,3.88,C8-pos
C8-pos_38--->C8-pos_64,Hydrogenation,2.017600000000016,0.001949935540015879,C8-pos_38,238.1777,3.58,C8-pos_64,240.1953,3.75,C8-pos
C8-pos_64--->C8-pos_34,Formylation,27.992800000000017,0.0021146195599826,C8-pos_64,240.1953,3.75,C8-pos_34,268.1881,3.55,C8-pos
C8-pos_102--->C8-pos_142,Ethylation,28.03139999999999,9.987107998910005e-05,C8-pos_102,214.2527,3.93,C8-pos_142,242.2841,4.17,C8-pos
C8-pos_46--->C8-pos_1477,COOH → CONH2,-0.9800999999999931,0.003915582530005679,C8-pos_46,244.1906,3.68,C8-pos_1477,243.2105,11.99,C8-pos
C8-pos_1477--->C8-pos_152,OH → SH,15.979700000000008,0.002543619560007926,C8-pos_1477,243.2105,11.99,C8-pos_152,259.1902,4.23,C8-pos
C8-pos_1477--->C8-pos_180,Glucosylation,162.0502,0.002623420100007934,C8-pos_1477,243.2105,11.99,C8-pos_180,405.2607,4.46,C8-pos
C8-pos_155--->C8-pos_46,Carboxylation,43.98989999999998,7.076087997859304e-05,C8-pos_155,200.2007,4.24,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_113--->C8-pos_46,Carboxylation,43.9898,2.9239119996304908e-05,C8-pos_113,200.2008,4.01,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_39--->C8-pos_46,Formylation,27.99459999999999,0.0003146195600081114,C8-pos_39,216.196,3.58,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_51--->C8-pos_46,Hydroxylation,15.994799999999998,0.00011461956000147211,C8-pos_51,228.1958,3.71,C8-pos_46,244.1906,3.68,C8-pos
