compoundId	compoundName	p.1	p.2	p.3	p.4	p.5	p.combined
39964	2-[2-(4-nitrophenyl)-1,3-benzoxazol-5-yl]propanoic acid	0.0	0.0	0.0	0.0	0.0	0.0
622022	1,3,4-trifluorobenzo[b][1,4]benzoxazepin-2-amine	0.02	0.02	0.0	0.0	0.0	0.008
628295	6-chloro-2-(4-chlorophenyl)sulfanyl-1,3-benzothiazole	0.0	0.0	0.0	0.0	0.0	0.0
139017	N-[bis(dimethylamino)phosphinoselenoyl]-N-methylmethanamine	0.0	0.0	0.0	0.0	0.0	0.0
1143555	(2S)-N-cyclopentyl-2-(2,5-dimethyl-N-[2-(5-thiophen-2-yltetrazol-2-yl)acetyl]anilino)-2-pyridin-4-ylacetamide	0.0	0.0	0.0	0.0	0.0	0.0
650349	2-[[5-[4-(benzenesulfonamido)phenyl]-1,3,4-oxadiazol-2-yl]sulfanyl]-N-(oxolan-2-ylmethyl)acetamide	0.0	0.0	0.0	0.0	0.0	0.0
237576	2,2-dichloro-1-[4-(2,2-dichloroacetyl)piperazin-1-yl]ethanone	0.0	0.0	0.0	0.0	0.0	0.0
2386659	2-[(5,7-dimethyl-[1,2,4]triazolo[4,3-a]pyrimidin-3-yl)sulfanyl]-N-(2,4,5-trichlorophenyl)acetamide	0.0	0.0	0.0	0.0	0.0	0.0
28180	trimethyl-[6-(trimethylazaniumyl)hexyl]azanium;dichloride;dihydrate	0.0	0.0	0.0	0.0	0.0	0.0
402381	N-[4-[2-(benzylideneamino)-1,3-thiazol-4-yl]phenyl]-4-chloro-3-methoxybenzenesulfonamide	0.0	0.0	0.0	0.0	0.0	0.0
1522479	N-[2-(cyclohexen-1-yl)ethyl]-7-(4-fluorophenyl)-5-phenylpyrrolo[2,3-d]pyrimidin-4-amine	0.0	0.0	0.0	0.0	0.0	0.0
375908	5,7-difluoro-2-phenyl-1H-quinolin-4-one	0.0	0.0	0.0	0.0	0.0	0.0
73093	N-[(3S)-7-amino-1-chloro-2-oxoheptan-3-yl]-4-methylbenzenesulfonamide;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
388190	1'-hydroxy-2'-(4-methoxybenzoyl)-1'-(4-methoxyphenyl)spiro[1,3-dihydro-1-benzazepine-4,4'-cyclohexane]-2,5-dione	0.0	0.0	0.0	0.0	0.0	0.0
10209940	6-benzhydryloxy-4,8-ditert-butyl-1,2,10,11-tetramethylbenzo[d][1,3,2]benzodioxaphosphepine	0.0	0.0	0.0	0.0	0.0	0.0
3257729	9-(4-fluorophenyl)-6-(3-methoxyphenyl)-5-(3,4,5-trimethoxybenzoyl)-8,9,10,11-tetrahydro-6H-benzo[b][1,4]benzodiazepin-7-one	0.0	0.0	0.0	0.0	0.0	0.0
5476107	1-$l^{2}-azanylpropan-1-one	1.0	1.0	1.0	1.0	0.0	0.8
331377	8-hydroxy-5-hydroxyimino-7-methyl-3,6-dinitropyrano[2,3-b]pyridin-4-one	0.0	0.0	0.0	0.0	0.0	0.0
3031112	N-[2-(dimethylamino)ethyl]-N-thiophen-2-ylpropanamide;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
186413	11-fluoro-5-methoxy-7,12-dimethyl-5,6-dihydrobenzo[a]anthracen-6-ol	0.0	0.0	0.0	0.0	0.0	0.0
252676	N,N-bis(2-fluoroethyl)methanesulfonamide	0.235	0.235	0.235	0.0	0.0	0.141
355403	2-(4,5-dichloro-2-methylpyrazol-3-yl)sulfinylethyl N-propan-2-ylcarbamate	0.0	0.0	0.0	0.0	0.0	0.0
190708	tert-butyl-[tert-butyl(phenyl)phosphoryl]oxy-chloro-phenylphosphanium;chloride	0.0	0.0	0.0	0.0	0.0	0.0
1610159	5-cyano-6-[2-(4-ethylanilino)-2-oxoethyl]sulfanyl-4-(4-methoxyphenyl)-2-methyl-N-phenylpyridine-3-carboxamide	0.0	0.0	0.0	0.0	0.0	0.0
326052	1,5,9,13-tetrathiacyclohexadecane	0.0	0.0	0.0	0.0	0.0	0.0
16781	1-N,4-N-bis[(2-chlorophenyl)methyl]bicyclo[2.2.2]octane-1,4-diamine	0.0	0.0	0.0	0.0	0.0	0.0
116687	bis(5-bicyclo[2.2.1]hept-2-enylmethyl) methyl phosphite	0.0	0.0	0.0	0.0	0.0	0.0
616945	1,3-dioxo-2-[4-(2-sulfosulfanylethylamino)butyl]-3a,4,5,6,7,7a-hexahydroisoindole	0.0	0.0	0.0	0.0	0.0	0.0
72051	1-(1,3-dichloro-6,11-dihydro-5H-dibenzo[1,2-a:1',4'-e][7]annulen-11-yl)imidazole	0.0	0.0	0.0	0.0	0.0	0.0
1083324	3-(2,5-diphenyl-1,3-thiazol-4-yl)-1H-pyrimidine-2,4-dithione	0.0	0.0	0.0	0.0	0.0	0.0
9830413	2-amino-N-[5-[[2-amino-6-(1-aminoethylideneamino)-2-methylhexanoyl]amino]pentyl]-6-(1-aminoethylideneamino)-2-methylhexanamide	0.0	0.0	0.0	0.0	0.0	0.0
4148529	(4-acetyloxy-2,5-dichloro-3,6-dioxocyclohexa-1,4-dien-1-yl) benzoate	0.0	0.0	0.0	0.0	0.0	0.0
2866755	1-[2-(2-chloro-6-nitroanilino)ethylamino]propan-2-ol;hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0
35292	N-ethyl-4,6-difluoro-1,3,5-triazin-2-amine	0.0	0.0	0.0	0.0	0.0	0.0
143545	2,5-dimethoxythiophene	0.0	0.0	0.0	0.0	0.0	0.0
2478	4-methylsulfonyloxybutyl methanesulfonate	0.0	0.0	0.0	0.0	0.0	0.0
104639	4-(4-chlorophenyl)oxane-2,6-dione	0.0	0.0	0.0	0.0	0.0	0.0
19141	3-amino-2-methyl-5-nitrobenzamide	0.26	0.26	0.26	0.0	0.0	0.156
5119063	3-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-5-[[2-[4-(2-hydroxyethyl)piperazin-1-yl]-4-oxopyrido[1,2-a]pyrimidin-3-yl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one	0.0	0.0	0.0	0.0	0.0	0.0
